duration;unit;convert;duration_conv;unit_conv
5.9;h;no;5.9;h
60;dpp;no;60;remove
600;d;no;600;d
604;h;yes;25.1666666667;d
6.2;d;no;6.2;d
6.25;h;no;6.25;h
654;h;yes;27.25;d
66;hpf;no;66;remove
6.6;h;no;6.6;h
672;h;yes;28;d
688;h;yes;28.6666666667;d
6.9;h;no;6.9;h
7.1;d;no;7.1;d
7.2;h;no;7.2;h
7.4;h;no;7.4;h
7.5;wk;yes;52.5;d
7.67;d;no;7.67;d
7.75;h;no;7.75;h
8;brd;no;8;remove
8;dph;no;8;remove
8;hpf;no;8;remove
80;hpf;no;80;remove
826;d;no;826;d
826;h;yes;34.4166666667;d
83;h;no;83;h
8.3;d;no;8.3;d
84.25;d;no;84.25;d
84.5;d;no;84.5;d
84.75;d;no;84.75;d
8760;h;yes;365;d
8.9;mi;no;8.9;mi
9;brd;no;9;remove
90;s;no;90;s
922;mi;yes;15.3666666667;h
9.3;d;no;9.3;d
9.3;h;no;9.3;h
95.5;h;no;95.5;h
96.5;h;no;96.5;h
9.7;d;no;9.7;d
99;h;no;99;h
NR;dh;no;NR;remove
NR;ey;no;NR;remove
;ej;no;0;remove
;ey;no;0;remove
;frt;no;0;remove
0.028;h;yes;1.68;mi
0.031;h;yes;1.86;mi
0.08;d;yes;115.2;mi
0.092;h;yes;5.52;mi
0.1;d;yes;144;mi
0.17;d;yes;244.8;mi
0.35;h;yes;21;mi
0.4;d;yes;9.6;h
0.5;mo;yes;15;d
0.5;yr;yes;182.5;d
0.55;h;yes;33;mi
0.56;h;yes;33.6;mi
0.57;h;yes;34.2;mi
0.62;h;yes;37.2;mi
0.77;h;yes;46.2;mi
0.82;h;yes;49.2;mi
0.87;h;yes;52.2;mi
0.88;h;yes;52.8;mi
0.93;h;yes;55.8;mi
1;dpm;no;1;remove
1;stg;no;1;remove
100;dph;no;100;remove
100.5;dph;no;100.5;remove
10.1;d;no;10.1;d
1.02;h;yes;61.2;mi
10.2;d;no;10.2;d
103;dph;no;103;remove
1.03;h;yes;61.8;mi
10.3;d;no;10.3;d
10.3;h;no;10.3;h
1.05;h;yes;63;mi
10.6;h;no;10.6;h
109;h;no;109;h
11.1;h;no;11.1;h
11.2;h;no;11.2;h
114;hpf;no;114;remove
115;mi;no;115;mi
1.15;h;yes;69;mi
11.6;h;no;11.6;h
11.7;d;no;11.7;d
11.8;h;no;11.8;h
119;mi;no;119;mi
12;hpf;no;12;remove
1.2;d;yes;28.8;h
1.22;h;yes;73.2;mi
1.23;h;yes;73.8;mi
12.3;d;no;12.3;d
12.4;h;no;12.4;h
126;mi;no;126;mi
12.6;h;no;12.6;h
12.7;h;no;12.7;h
129;mi;no;129;mi
13.3;d;no;13.3;d
13.3;h;no;13.3;h
13.4;h;no;13.4;h
136;h;yes;5.6666666667;d
13.6;d;no;13.6;d
136.8;d;no;136.8;d
1.37;h;yes;82.2;mi
13.7;d;no;13.7;d
138;hpf;no;138;remove
145;mi;no;145;mi
14.5;d;no;14.5;d
1452;mi;yes;24.2;h
148;h;yes;6.1666666667;d
14.85;d;no;14.85;d
1.5;yr;no;1.5;yr
152;h;yes;6.3333333333;d
152;mi;no;152;mi
1.52;h;yes;91.2;mi
15.2;h;no;15.2;h
15.3;h;no;15.3;h
15.6;h;no;15.6;h
15.8;d;no;15.8;d
16.04;d;no;16.04;d
16.08;d;no;16.08;d
162;d;no;162;d
16.25;d;no;16.25;d
16.3;d;no;16.3;d
16.5;h;no;16.5;h
166;mi;no;166;mi
17.2;h;no;17.2;h
175;d;no;175;d
175;h;yes;7.2916666667;d
1.78;h;yes;106.8;mi
17.9;d;no;17.9;d
18.2;h;no;18.2;h
184;mi;no;184;mi
19;dph;no;19;remove
1.9;d;yes;45.6;h
1.93;h;yes;115.8;mi
19.4;h;no;19.4;h
19.5;h;no;19.5;h
198;d;no;198;d
198;mi;no;198;mi
19.9;d;no;19.9;d
20.2;h;no;20.2;h
2.1;h;yes;126;mi
21.1;d;no;21.1;d
21.3;h;no;21.3;h
214;h;yes;8.9166666667;d
21.5;h;no;21.5;h
21.7;d;no;21.7;d
21.7;h;no;21.7;h
219;d;no;219;d
22;hpf;no;22;remove
221;d;no;221;d
223;mi;no;223;mi
225;mi;no;225;mi
226;d;no;226;d
228;h;yes;9.5;d
231;d;no;231;d
232;d;no;232;d
23.3;h;no;23.3;h
234;d;no;234;d
235;d;no;235;d
235;mi;no;235;mi
2.38;h;yes;142.8;mi
2.4;h;yes;144;mi
240;hph;no;240;remove
241;h;yes;10.0416666667;d
2.42;h;yes;145.2;mi
245;d;no;245;d
250;mi;no;250;mi
253;h;yes;10.5416666667;d
259;d;no;259;d
260;h;yes;10.8333333333;d
26.15;d;no;26.15;d
264;d;no;264;d
267;d;no;267;d
2.7;d;yes;64.8;h
27.8;h;no;27.8;h
27.89;d;no;27.89;d
28.06;d;no;28.06;d
28.08;d;no;28.08;d
2.82;h;yes;169.2;mi
2.83;h;yes;169.8;mi
28.3;h;no;28.3;h
285;d;no;285;d
28.5;h;no;28.5;h
289;d;no;289;d
29;mi;no;29;mi
2.9;h;yes;174;mi
292;d;no;292;d
29.5;h;no;29.5;h
297;d;no;297;d
30.18;d;no;30.18;d
30.79;d;no;30.79;d
30.8;h;no;30.8;h
309;d;no;309;d
310;d;no;310;d
313;h;yes;13.0416666667;d
32;dph;no;32;remove
323;d;no;323;d
32.53;d;no;32.53;d
329;d;no;329;d
3.3;d;yes;79.2;h
330;h;yes;13.75;d
330;mi;no;330;mi
34;mi;no;34;mi
3.4;d;yes;81.6;h
34.06;d;no;34.06;d
3.42;h;yes;205.2;mi
34.2;h;no;34.2;h
34.5;d;no;34.5;d
35;dph;no;35;remove
36;go;no;36;remove
36;mi;no;36;mi
37;stg;no;37;remove
38;wk;yes;266;d
383;d;no;383;d
388;d;no;388;d
39.8;h;no;39.8;h
4;wph;no;4;remove
40;mpf;no;40;remove
4000;mi;yes;66.6666666667;h
425;d;no;425;d
43;dph;no;43;remove
4.33;h;yes;259.8;mi
443;d;no;443;d
448;d;no;448;d
45.3;d;no;45.3;d
4.58;d;yes;109.92;h
46.5;h;no;46.5;h
4.7;h;yes;282;mi
47.3;h;no;47.3;h
48;mo;yes;1440;d
4.83;h;yes;289.8;mi
489;d;no;489;d
4.9;d;yes;117.6;h
5;dpm;no;5;remove
506;h;yes;21.0833333333;d
507;h;yes;21.125;d
5.33;d;no;5.33;d
55;dph;no;55;remove
55.5;d;no;55.5;d
5.8;d;no;5.8;d
5.83;h;no;5.83;h
59;dph;no;59;remove
6;dph;no;6;remove
6;ge;no;6;remove
6;hpf;no;6;remove
6;ins;no;6;remove
6.04;d;no;6.04;d
614;h;yes;25.5833333333;d
61.7;h;no;61.7;h
624;h;yes;26;d
63;mi;no;63;mi
634;h;yes;26.4166666667;d
6.5;mo;yes;195;d
6.6;d;no;6.6;d
6.67;h;no;6.67;h
67.2;h;no;67.2;h
694;h;yes;28.9166666667;d
704;h;yes;29.3333333333;d
72;wk;yes;504;d
7.2;d;no;7.2;d
744;h;yes;31;d
76;mi;no;76;mi
766;h;yes;31.9166666667;d
77;mi;no;77;mi
7.7;d;no;7.7;d
7.7;h;no;7.7;h
78;mi;no;78;mi
7.8;d;no;7.8;d
7.8;h;no;7.8;h
79;mi;no;79;mi
7.9;d;no;7.9;d
7.9;h;no;7.9;h
8.1;d;no;8.1;d
8.14;wk;yes;56.98;d
8.2;d;no;8.2;d
8.2;h;no;8.2;h
83.2;h;no;83.2;h
8.4;d;no;8.4;d
8.4;h;no;8.4;h
86;mi;no;86;mi
8.6;h;no;8.6;h
86.4;h;no;86.4;h
87;mi;no;87;mi
8.75;d;no;8.75;d
8.8;h;no;8.8;h
8.9;d;no;8.9;d
9;stg;no;9;remove
900;mi;yes;15;h
93.5;d;no;93.5;d
94;hpf;no;94;remove
9.4;d;no;9.4;d
9.6;d;no;9.6;d
9.8;h;no;9.8;h
99.9;dph;no;99.9;remove
NR;clv;no;NR;remove
0;dph;no;0;remove
0.004;h;yes;0.24;mi
0.013;h;yes;0.78;mi
0.015;h;yes;0.9;mi
0.027;h;yes;1.62;mi
0.032;h;yes;1.92;mi
0.035;h;yes;2.1;mi
0.057;h;yes;3.42;mi
0.06;h;yes;3.6;mi
0.075;h;yes;4.5;mi
0.09;h;yes;5.4;mi
0.14;h;yes;8.4;mi
0.2;d;yes;288;mi
0.258;h;yes;15.48;mi
0.26;d;yes;6.24;h
0.266;h;yes;15.96;mi
0.31;d;yes;7.44;h
0.31;h;yes;18.6;mi
0.34;h;yes;20.4;mi
0.75;d;yes;18;h
0.81;h;yes;48.6;mi
0.98;h;yes;58.8;mi
1;dbh;no;1;remove
1;lf;no;1;remove
10;dpf;no;10;remove
100;wk;yes;700;d
101;mi;no;101;mi
10.1;mi;no;10.1;mi
10.17;d;no;10.17;d
10.2;h;no;10.2;h
1030;h;yes;42.9166666667;d
10.33;d;no;10.33;d
104;mi;no;104;mi
107;mi;no;107;mi
10.7;h;no;10.7;h
107.5;mi;no;107.5;mi
108;dph;no;108;remove
108;wk;yes;756;d
10.8;d;no;10.8;d
109;mi;no;109;mi
10.9;d;no;10.9;d
11000;mi;yes;7.6388888889;d
111;mi;no;111;mi
11.1;dpf;no;11.1;remove
1115;d;no;1115;d
1115;mi;yes;18.5833333333;h
11.25;h;no;11.25;h
113;h;no;113;h
1.13;h;yes;67.8;mi
1137;mi;yes;18.95;h
11.5;dpf;no;11.5;remove
115.2;h;no;115.2;h
11.67;d;no;11.67;d
117;h;no;117;h
11.7;h;no;11.7;h
1.18;h;yes;70.8;mi
11.9;h;no;11.9;h
119.7;mi;no;119.7;mi
120;hph;no;120;remove
120;s;no;120;s
12.1;d;no;12.1;d
12.2;d;no;12.2;d
12.25;h;no;12.25;h
12.3;h;no;12.3;h
124;dph;no;124;remove
124;hpf;no;124;remove
125;dph;no;125;remove
12.51;h;no;12.51;h
1271.2;mi;yes;21.1866666667;h
128;h;yes;5.3333333333;d
12.9;h;no;12.9;h
12.9;mi;no;12.9;mi
1295;h;yes;53.9583333333;d
13;mi;no;13;mi
131;h;yes;5.4583333333;d
13.17;h;no;13.17;h
132;hpf;no;132;remove
1320;mi;yes;22;h
134;mi;no;134;mi
135;h;yes;5.625;d
13.5;d;no;13.5;d
13.5;mi;no;13.5;mi
138;mi;no;138;mi
13.9;d;no;13.9;d
141;mi;no;141;mi
1411;h;yes;58.7916666667;d
142;h;yes;5.9166666667;d
1.42;h;yes;85.2;mi
14.3;d;no;14.3;d
1442;mi;yes;24.0333333333;h
14432;mi;yes;10.0222222222;d
1445;mi;yes;24.0833333333;h
14491;mi;yes;10.0631944444;d
145;h;yes;6.0416666667;d
1.45;h;yes;87;mi
1457;mi;yes;24.2833333333;h
14.7;h;no;14.7;h
1474;mi;yes;24.5666666667;h
148;mi;no;148;mi
14.9;h;no;14.9;h
15;dph;no;15;remove
1500;h;yes;62.5;d
151;mi;no;151;mi
15.1;h;no;15.1;h
153;h;yes;6.375;d
1.53;h;yes;91.8;mi
15.3;d;no;15.3;d
154;dph;no;154;remove
154.4;mi;no;154.4;mi
1.55;h;yes;93;mi
156;mi;no;156;mi
15.67;d;no;15.67;d
158;mi;no;158;mi
15.8;h;no;15.8;h
15.9;d;no;15.9;d
162;h;yes;6.75;d
1.62;h;yes;97.2;mi
163;h;yes;6.7916666667;d
16.3;h;no;16.3;h
16.33;d;no;16.33;d
163.3;mi;no;163.3;mi
165;h;yes;6.875;d
165;mi;no;165;mi
1.66;h;yes;99.6;mi
167;h;yes;6.9583333333;d
16.7;d;no;16.7;d
167.5;h;yes;6.9791666667;d
168;hv;no;168;remove
171;h;yes;7.125;d
171;mi;no;171;mi
17.1;mi;no;17.1;mi
171.5;mi;no;171.5;mi
17.2;d;no;17.2;d
17.3;h;no;17.3;h
17.4;h;no;17.4;h
17.43;h;no;17.43;h
17.59;h;no;17.59;h
176;h;yes;7.3333333333;d
177;mi;no;177;mi
17.75;d;no;17.75;d
17.77;d;no;17.77;d
178;dph;no;178;remove
178;h;yes;7.4166666667;d
180;dph;no;180;remove
181;d;no;181;d
18.2;d;no;18.2;d
183.7;h;yes;7.6541666667;d
18.4;d;no;18.4;d
18.4;h;no;18.4;h
18.5;d;no;18.5;d
18.6;d;no;18.6;d
187;h;yes;7.7916666667;d
18.9;h;no;18.9;h
190;d;no;190;d
190;hpf;no;190;remove
19.1;d;no;19.1;d
19.1;h;no;19.1;h
192;dph;no;192;remove
19.2;h;no;19.2;h
19.35;d;no;19.35;d
19.4;d;no;19.4;d
1.95;d;yes;46.8;h
19.6;d;no;19.6;d
197;mi;no;197;mi
19.7;h;no;19.7;h
19.8;h;no;19.8;h
2;crs;no;2;remove
2;cs;no;2;remove
2;s;no;2;s
2;stg;no;2;remove
20.1;d;no;20.1;d
2.02;h;yes;121.2;mi
20.3;d;no;20.3;d
204;h;yes;8.5;d
20.4;h;no;20.4;h
20.8;h;no;20.8;h
20.86;d;no;20.86;d
213;h;yes;8.875;d
21.3;d;no;21.3;d
214;d;no;214;d
21.4;h;no;21.4;h
21.6;h;no;21.6;h
21.6;mi;no;21.6;mi
217;h;yes;9.0416666667;d
2.18;h;yes;130.8;mi
219;h;yes;9.125;d
2.2;d;yes;52.8;h
22.4;d;no;22.4;d
22.4;h;no;22.4;h
22.5;d;no;22.5;d
22.5;h;no;22.5;h
22.9;h;no;22.9;h
23.06;d;no;23.06;d
2.33;d;yes;55.92;h
23.3;d;no;23.3;d
23.4;d;no;23.4;d
23.4;h;no;23.4;h
23.5;d;no;23.5;d
23.5;h;no;23.5;h
236;d;no;236;d
23.6;h;no;23.6;h
237;d;no;237;d
238;mi;no;238;mi
23.8;h;no;23.8;h
23.9;d;no;23.9;d
23.9;h;no;23.9;h
240;hpf;no;240;remove
24.4;d;no;24.4;d
24.4;h;no;24.4;h
2.45;h;yes;147;mi
24.5;d;no;24.5;d
248;mi;no;248;mi
250;h;yes;10.4166666667;d
25.2;h;no;25.2;h
256;d;no;256;d
25.61;h;no;25.61;h
257;d;no;257;d
25.7;d;no;25.7;d
2.58;h;yes;154.8;mi
25.9;d;no;25.9;d
2.6;d;yes;62.4;h
26.1;h;no;26.1;h
262;h;yes;10.9166666667;d
26.2;d;no;26.2;d
2.63;h;yes;157.8;mi
2.63;mi;no;2.63;mi
264;mi;no;264;mi
2.65;h;yes;159;mi
26.5;mi;no;26.5;mi
26.57;d;no;26.57;d
26.6;d;no;26.6;d
26.6;h;no;26.6;h
26.7;d;no;26.7;d
26.7;h;no;26.7;h
268;d;no;268;d
26.8;d;no;26.8;d
270;dph;no;270;remove
27.2;d;no;27.2;d
275;mi;no;275;mi
2.75;h;yes;165;mi
27.9;d;no;27.9;d
283;mi;no;283;mi
28.3;d;no;28.3;d
285;mi;no;285;mi
286;h;yes;11.9166666667;d
287;mi;no;287;mi
28.91;h;no;28.91;h
29;wk;yes;203;d
290;mi;no;290;mi
29.17;d;no;29.17;d
2.92;h;yes;175.2;mi
29.2;h;no;29.2;h
293;h;yes;12.2083333333;d
29.3;h;no;29.3;h
29.4;mi;no;29.4;mi
298;d;no;298;d
2.98;d;yes;71.52;h
3;crs;no;3;remove
3;stg;no;3;remove
3000;mi;yes;50;h
30.2;h;no;30.2;h
3.04;h;yes;182.4;mi
31.3;d;no;31.3;d
315;d;no;315;d
3.15;h;yes;189;mi
31.6;h;no;31.6;h
317;d;no;317;d
31.7;d;no;31.7;d
31.9;d;no;31.9;d
3.2;mi;no;3.2;mi
323;mi;no;323;mi
325;d;no;325;d
32.5;d;no;32.5;d
32.8;h;no;32.8;h
330;dd;no;330;remove
33.3;h;no;33.3;h
3.35;h;yes;201;mi
33.9;h;no;33.9;h
342;d;no;342;d
342;mi;no;342;mi
347;d;no;347;d
35;dpf;no;35;remove
350;h;yes;14.5833333333;d
351;mi;no;351;mi
3.53;h;yes;211.8;mi
35.6;h;no;35.6;h
357;d;no;357;d
358;d;no;358;d
3.63;d;yes;87.12;h
366;d;no;366;d
36.67;h;no;36.67;h
37;hpf;no;37;remove
37;mi;no;37;mi
3.72;h;yes;223.2;mi
375;mi;yes;6.25;h
376;mi;yes;6.2666666667;h
37.7;h;no;37.7;h
3.8;h;yes;228;mi
38.03;d;no;38.03;d
381;mi;yes;6.35;h
38.4;h;no;38.4;h
38.5;mi;no;38.5;mi
39;dph;no;39;remove
39;go;no;39;remove
390;d;no;390;d
3.92;h;yes;235.2;mi
3.95;h;yes;237;mi
4;crs;no;4;remove
4;hpf;no;4;remove
40.3;d;no;40.3;d
41;dph;no;41;remove
410;h;yes;17.0833333333;d
41.2;h;no;41.2;h
41.5;d;no;41.5;d
41.7;h;no;41.7;h
420;dph;no;420;remove
420;mi;yes;7;h
424;h;yes;17.6666666667;d
42.5;h;no;42.5;h
427;d;no;427;d
42.7;h;no;42.7;h
4273;mi;yes;71.2166666667;h
43.1;h;no;43.1;h
43.25;d;no;43.25;d
43.5;h;no;43.5;h
43.55;h;no;43.55;h
44;mi;no;44;mi
440;d;no;440;d
440;h;yes;18.3333333333;d
44.3;h;no;44.3;h
44.5;d;no;44.5;d
44.8;h;no;44.8;h
45;dph;no;45;remove
45.1;h;no;45.1;h
453;h;yes;18.875;d
45.5;h;no;45.5;h
460;d;no;460;d
460;h;yes;19.1666666667;d
4639;mi;yes;77.3166666667;h
4.67;d;yes;112.08;h
4.67;h;yes;280.2;mi
47;dph;no;47;remove
472.7;mi;yes;7.8783333333;h
48;wk;yes;336;d
4.81;d;yes;115.44;h
4.83;d;yes;115.92;h
4841.4;mi;yes;80.69;h
485;mi;yes;8.0833333333;h
4.85;h;yes;291;mi
48.5;h;no;48.5;h
487;h;yes;20.2916666667;d
4.88;d;yes;117.12;h
48.8;d;no;48.8;d
49;mi;no;49;mi
4.9;h;yes;294;mi
50.2;h;no;50.2;h
50.4;h;no;50.4;h
505;h;yes;21.0416666667;d
508;h;yes;21.1666666667;d
5.13;d;no;5.13;d
52.06;h;no;52.06;h
52.6;wk;yes;368.2;d
528;h;yes;22;d
53;dph;no;53;remove
53;mi;no;53;mi
5.32;d;no;5.32;d
53.5;h;no;53.5;h
53.7;d;no;53.7;d
54;mi;no;54;mi
54.3;h;no;54.3;h
54.5;h;no;54.5;h
5.5;mi;no;5.5;mi
55.4;h;no;55.4;h
5.55;h;no;5.55;h
556;h;yes;23.1666666667;d
55.66;h;no;55.66;h
55.81;h;no;55.81;h
55.9;mi;no;55.9;mi
56;nf;no;56;remove
560;d;no;560;d
5.63;d;no;5.63;d
56.4;d;no;56.4;d
5.67;d;no;5.67;d
56.7;wk;yes;396.9;d
57;dph;no;57;remove
57;mo;yes;1710;d
5.75;h;no;5.75;h
57.5;h;no;57.5;h
576;h;yes;24;d
57.6;h;no;57.6;h
5.78;h;no;5.78;h
5781;mi;yes;96.35;h
5792;mi;yes;96.5333333333;h
58;mi;no;58;mi
584;h;yes;24.3333333333;d
58.5;h;no;58.5;h
5.88;h;no;5.88;h
5.92;d;no;5.92;d
60;wk;yes;420;d
6000;mi;yes;100;h
60.8;h;no;60.8;h
60.9;wk;yes;426.3;d
61;dph;no;61;remove
61;mi;no;61;mi
6.1;d;no;6.1;d
62.2;h;no;62.2;h
6.25;d;no;6.25;d
6.3;h;no;6.3;h
6.33;h;no;6.33;h
63.38;h;no;63.38;h
6.4;h;no;6.4;h
64.14;h;no;64.14;h
65;dd;no;65;remove
65;dph;no;65;remove
652.5;h;yes;27.1875;d
65.9;wk;yes;461.3;d
66;mi;no;66;mi
66.1;h;no;66.1;h
6.63;d;no;6.63;d
66.9;h;no;66.9;h
6.7;d;no;6.7;d
67.13;h;no;67.13;h
6.75;d;no;6.75;d
6.85;d;no;6.85;d
687;mi;yes;11.45;h
69;mi;no;69;mi
7.054;d;no;7.054;d
71;mi;no;71;mi
7.1;h;no;7.1;h
7.13;d;no;7.13;d
72;ht;no;72;remove
7.25;d;no;7.25;d
72.8;d;no;72.8;d
72.82;h;no;72.82;h
7.3;h;no;7.3;h
73.1;d;no;73.1;d
7.33;d;no;7.33;d
7.33;h;no;7.33;h
7.34;d;no;7.34;d
7.46;d;no;7.46;d
74.7;h;no;74.7;h
7.5;mi;no;7.5;mi
750;d;no;750;d
75.5;h;no;75.5;h
7.58;h;no;7.58;h
7.59;d;no;7.59;d
7.66;d;no;7.66;d
7.67;h;no;7.67;h
76.7;mi;no;76.7;mi
7.7;mi;no;7.7;mi
7.71;d;no;7.71;d
78;hpf;no;78;remove
78;wk;yes;546;d
7.97;d;no;7.97;d
8;ge;no;8;remove
800;mi;yes;13.3333333333;h
80.4;h;no;80.4;h
81.25;h;no;81.25;h
8.13;d;no;8.13;d
82;mi;no;82;mi
8.2;mi;no;8.2;mi
82.3;h;no;82.3;h
83;mi;no;83;mi
83.6;h;no;83.6;h
85.03;h;no;85.03;h
85.2;h;no;85.2;h
8.6;d;no;8.6;d
860;s;no;860;s
8645;mi;yes;6.0034722222;d
87;dph;no;87;remove
8.7;d;no;8.7;d
8.7;h;no;8.7;h
879;s;no;879;s
88.1;h;no;88.1;h
8.9;h;no;8.9;h
89.1;mi;no;89.1;mi
89.96;d;no;89.96;d
90;wk;yes;630;d
9.1;d;no;9.1;d
91.2;mi;no;91.2;mi
91.3;h;no;91.3;h
9.15;h;no;9.15;h
9.167;d;no;9.167;d
92;wk;yes;644;d
9.2;h;no;9.2;h
92.4;dph;no;92.4;remove
93;mi;no;93;mi
9.5;mo;yes;285;d
96;hph;no;96;remove
960;mi;yes;16;h
96.7;h;no;96.7;h
9.7;h;no;9.7;h
9.79;d;no;9.79;d
98;mi;no;98;mi
9.8;d;no;9.8;d
NR;alv;no;NR;remove
NR;crs;no;NR;remove
NR;dpe;no;NR;remove
NR;ins;no;NR;remove
NR;myp;no;NR;remove
NR;zmy;no;NR;remove
;lvp;no;0;remove
;NR;no;0;remove
0.001;h;yes;0.06;mi
0.003;d;yes;4.32;mi
0.003;h;yes;0.18;mi
0.005;h;yes;0.3;mi
0.006;mi;no;0.006;mi
0.007;d;yes;10.08;mi
0.009;h;yes;0.54;mi
0.0097;mi;no;0.0097;mi
0.01;h;yes;0.6;mi
0.011;h;yes;0.66;mi
0.012;d;yes;17.28;mi
0.012;h;yes;0.72;mi
0.014;h;yes;0.84;mi
0.016;h;yes;0.96;mi
0.018;h;yes;1.08;mi
0.021;h;yes;1.26;mi
0.022;h;yes;1.32;mi
0.025;h;yes;1.5;mi
0.0259;mi;no;0.0259;mi
0.026;h;yes;1.56;mi
0.03;d;yes;43.2;mi
0.031;d;yes;44.64;mi
0.038;h;yes;2.28;mi
0.04;h;yes;2.4;mi
0.044;h;yes;2.64;mi
0.045;h;yes;2.7;mi
0.047;h;yes;2.82;mi
0.048;h;yes;2.88;mi
0.054;h;yes;3.24;mi
0.055;d;yes;79.2;mi
0.058;h;yes;3.48;mi
0.06;d;yes;86.4;mi
0.063;h;yes;3.78;mi
0.066;h;yes;3.96;mi
0.068;h;yes;4.08;mi
0.07;mi;no;0.07;mi
0.0706;mi;no;0.0706;mi
0.0708;mi;no;0.0708;mi
0.085;h;yes;5.1;mi
0.09;d;yes;129.6;mi
0.097;h;yes;5.82;mi
0.12;d;yes;172.8;mi
0.125;d;yes;180;mi
0.136;mi;no;0.136;mi
0.14;d;yes;201.6;mi
0.142;mi;no;0.142;mi
0.15;d;yes;216;mi
0.166;h;yes;9.96;mi
0.175;h;yes;10.5;mi
0.18;d;yes;259.2;mi
0.19;d;yes;273.6;mi
0.19;h;yes;11.4;mi
0.193;h;yes;11.58;mi
0.21;d;yes;5.04;h
0.21;h;yes;12.6;mi
0.2102;mi;no;0.2102;mi
0.225;h;yes;13.5;mi
0.24;h;yes;14.4;mi
0.267;h;yes;16.02;mi
0.278;h;yes;16.68;mi
0.284;mi;no;0.284;mi
0.289;mi;no;0.289;mi
0.29;h;yes;17.4;mi
0.291;mi;no;0.291;mi
0.2912;mi;no;0.2912;mi
0.307;h;yes;18.42;mi
0.31;mi;no;0.31;mi
0.317;h;yes;19.02;mi
0.342;mi;no;0.342;mi
0.361;mi;no;0.361;mi
0.368;h;yes;22.08;mi
0.39;h;yes;23.4;mi
0.398;mi;no;0.398;mi
0.423;h;yes;25.38;mi
0.443;h;yes;26.58;mi
0.49;h;yes;29.4;mi
0.492;h;yes;29.52;mi
0.51;h;yes;30.6;mi
0.522;h;yes;31.32;mi
0.523;h;yes;31.38;mi
0.56;yr;yes;204.4;d
0.58;d;yes;13.92;h
0.59;d;yes;14.16;h
0.59;h;yes;35.4;mi
0.608;h;yes;36.48;mi
0.64;h;yes;38.4;mi
0.66;h;yes;39.6;mi
0.668;h;yes;40.08;mi
0.675;h;yes;40.5;mi
0.7;wk;yes;117.6;h
0.708;mi;no;0.708;mi
0.709;d;yes;17.016;h
0.71;d;yes;17.04;h
0.7266;mi;no;0.7266;mi
0.735;h;yes;44.1;mi
0.748;d;yes;17.952;h
0.757;h;yes;45.42;mi
0.76;h;yes;45.6;mi
0.787;h;yes;47.22;mi
0.83;d;yes;19.92;h
0.879;d;yes;21.096;h
0.89;h;yes;53.4;mi
0.897;h;yes;53.82;mi
0.96;h;yes;57.6;mi
1;hpf;no;1;remove
1;it;no;1;remove
1;mopm;no;1;remove
10;stg;no;10;remove
1000;h;yes;41.6666666667;d
1004;mi;yes;16.7333333333;h
100.63;h;no;100.63;h
100.8;mi;no;100.8;mi
10.1;h;no;10.1;h
1010;mi;yes;16.8333333333;h
10.13;h;no;10.13;h
101.6;mi;no;101.6;mi
101.7;mi;no;101.7;mi
10175;mi;yes;7.0659722222;d
102;mi;no;102;mi
102;wk;yes;714;d
102.1;mi;no;102.1;mi
10.25;d;no;10.25;d
10.26;d;no;10.26;d
10.29;h;no;10.29;h
103;h;no;103;h
103.22;h;no;103.22;h
103.3;mi;no;103.3;mi
1034;s;no;1034;s
10.35;h;no;10.35;h
103.5;h;no;103.5;h
1037;s;no;1037;s
1.037;d;yes;24.888;h
10.4;mi;no;10.4;mi
104.2;mi;no;104.2;mi
1043;mi;yes;17.3833333333;h
104.37;h;no;104.37;h
1045;h;yes;43.5416666667;d
104.6;h;no;104.6;h
1047;d;no;1047;d
1049;s;no;1049;s
1050;h;yes;43.75;d
1051;mi;yes;17.5166666667;h
105.13;h;no;105.13;h
10.55;d;no;10.55;d
10.58;d;no;10.58;d
10580;mi;yes;7.3472222222;d
106;mi;no;106;mi
1.06;h;yes;63.6;mi
10.6;mi;no;10.6;mi
10.67;d;no;10.67;d
106.7;mi;no;106.7;mi
10.68;d;no;10.68;d
1.07;h;yes;64.2;mi
1074;h;yes;44.75;d
108;hpf;no;108;remove
108;mi;no;108;mi
10.8;h;no;10.8;h
10.8;mi;no;10.8;mi
1081.05;mi;yes;18.0175;h
10.82;h;no;10.82;h
10.83;d;no;10.83;d
10.83;h;no;10.83;h
108.5;mi;no;108.5;mi
10.87;h;no;10.87;h
108.7;h;no;108.7;h
108.86;mi;no;108.86;mi
108.9;d;no;108.9;d
10.92;h;no;10.92;h
1093.05;mi;yes;18.2175;h
109.34;h;no;109.34;h
11;dpf;no;11;remove
11;hph;no;11;remove
110.26;h;no;110.26;h
1104;h;yes;46;d
11.1;d;no;11.1;d
11.1;mi;no;11.1;mi
1112;h;yes;46.3333333333;d
1117;mi;yes;18.6166666667;h
11.17;h;no;11.17;h
1.12;h;yes;67.2;mi
11.2;d;no;11.2;d
112.5;h;no;112.5;h
112.5;mi;no;112.5;mi
11.26;h;no;11.26;h
11.28;d;no;11.28;d
11.28;h;no;11.28;h
113;mi;no;113;mi
11.3;d;no;11.3;d
11.3;h;no;11.3;h
1130;d;no;1130;d
1131;mi;yes;18.85;h
113.4;h;no;113.4;h
113.6;mi;no;113.6;mi
114;mi;no;114;mi
