unit;convert;multiplier;unit_conv
pCi/ml;no;1;pCi/ml
pg/org;no;1;pg/org
dpm;no;1;dpm
nmol/kg bdwt;no;1;nmol/kg bdwt
ug/3.5L;no;1;ug/3.5L
ul/g bdwt;no;1;ul/g bdwt
cpm;no;1;cpm
pg/cell;no;1;pg/cell
g/dm3;yes;1000000;ug/L
mg/kg dw org/d;no;1;mg/kg dw org/d
mg/org/wk;no;1;mg/org/wk
ng eq/ml;no;1;ng eq/ml
pmol/cell;no;1;pmol/cell
ueq/L;no;1;ueq/L
ug/g/wk;no;1;ug/g/wk
ug/org dry wt;no;1;ug/org dry wt
ul/g;no;1;ul/g
g/ft2;no;1;g/ft2
mg/eu;no;1;mg/eu
ml/eu;no;1;ml/eu
ml/kg bdwt;no;1;ml/kg bdwt
ml/m2;no;1;ml/m2
mol/m3;yes;1000;uM
ppm/organi;no;1;ppm/organi
ug/org/d;no;1;ug/org/d
umol/mol C;no;1;umol/mol C
AI mg/m2;no;1;AI mg/m2
AI ml/ha;no;1;AI ml/ha
Bq;no;1;Bq
IU/kg;no;1;IU/kg
L;no;1;L
mmol/g dry wt;no;1;mmol/g dry wt
molal;no;1;molal
umol/g org;no;1;umol/g org
AI g/m2;no;1;AI g/m2
ai lb/ha;no;1;ai lb/ha
L/m2;no;1;L/m2
mg/h;no;1;mg/h
mg/kg/fish;no;1;mg/kg/fish
mg/kg wt;no;1;mg/kg wt
oz/ac;no;1;oz/ac
pmol;no;1;pmol
ug/fish;no;1;ug/fish
AI mg/eu;no;1;AI mg/eu
AI mM;no;1;AI mM
mg/100g bw/d;no;1;mg/100g bw/d
mg/org;no;1;mg/org
ml/100 g bdwt;no;1;ml/100 g bdwt
ng/cm;no;1;ng/cm
ptm;no;1;ptm
uCI/g org;no;1;uCI/g org
ug/cm2/d;no;1;ug/cm2/d
ug/g bdwt/wk;no;1;ug/g bdwt/wk
ug/g org/wk;no;1;ug/g org/wk
ug/kg bdwt/d;no;1;ug/kg bdwt/d
ug/kg LD;no;1;ug/kg LD
umol/dm3;no;1;umol/dm3
umol/g LD;no;1;umol/g LD
umol/kg bdwt;no;1;umol/kg bdwt
AI mg/kg bdwt;no;1;AI mg/kg bdwt
g/kg fd;no;1;g/kg fd
g/m2;no;1;g/m2
IU/kg bdwt;no;1;IU/kg bdwt
mCi mg;no;1;mCi mg
mg/100g/d;no;1;mg/100g/d
mg/cm2/d;no;1;mg/cm2/d
ng/ml blood/d;no;1;ng/ml blood/d
nmol/g wet wt;no;1;nmol/g wet wt
uCi/mg;no;1;uCi/mg
umol/cm2;no;1;umol/cm2
Ci/L;no;1;Ci/L
% g;no;1;% g
granules/kg bwt;no;1;granules/kg bwt
kBq;no;1;kBq
kg/d;no;1;kg/d
mCi;no;1;mCi
meq;no;1;meq
% mg;no;1;% mg
ml/10 L;no;1;ml/10 L
mmol/kg/d;no;1;mmol/kg/d
nM/L;no;1;nM/L
nmol/org;no;1;nmol/org
% of bdwt;no;1;% of bdwt
pCi/L;no;1;pCi/L
PIg/L;no;1;PIg/L
pmol/ml;no;1;pmol/ml
uCi/kg;no;1;uCi/kg
ug/10 g bdwt;no;1;ug/10 g bdwt
ug/eu/d;no;1;ug/eu/d
ug/mm3;no;1;ug/mm3
ug/ul;no;1;ug/ul
% w/w;no;1;% w/w
ae ppm;no;1;ae ppm
AI oz/acre;no;1;AI oz/acre
Bq/g;no;1;Bq/g
IU/100 g bdwt;no;1;IU/100 g bdwt
IU/g diet;no;1;IU/g diet
kg/L;no;1;kg/L
mg/kg/L;no;1;mg/kg/L
mg/L/d;no;1;mg/L/d
mmol/g;no;1;mmol/g
mS/cm;no;1;mS/cm
nmol/g dry wt;no;1;nmol/g dry wt
oz/acre;no;1;oz/acre
pmol/g egg;no;1;pmol/g egg
ug/L/d;no;1;ug/L/d
ul/100 g bdwt;no;1;ul/100 g bdwt
ul/cm2;no;1;ul/cm2
AI ng/mL;no;1;AI ng/mL
Ci/mol;no;1;Ci/mol
dpm/EU;no;1;dpm/EU
lit;no;1;lit
L/mg;no;1;L/mg
mg/300 g;no;1;mg/300 g
ml/d;no;1;ml/d
mol/org;no;1;mol/org
ng/g/d;no;1;ng/g/d
ng/g org;no;1;ng/g org
nmol/g TI;no;1;nmol/g TI
pg/g diet;no;1;pg/g diet
ppm food;no;1;ppm food
PSU;no;1;PSU
ug/100g org/d;no;1;ug/100g org/d
ug/250 g bdwt;no;1;ug/250 g bdwt
U/kg dry diet;no;1;U/kg dry diet
ul/egg;no;1;ul/egg
umol/org;no;1;umol/org
AI ng;no;1;AI ng
cm3/4L;no;1;cm3/4L
mg/70g;no;1;mg/70g
mg/d;no;1;mg/d
mg/dose;no;1;mg/dose
mg/org/d;no;1;mg/org/d
ML;no;1;ML
mM/g;no;1;mM/g
mOsm;no;1;mOsm
pg/g TI;no;1;pg/g TI
ug/300 g bdwt;no;1;ug/300 g bdwt
um;no;1;um
umol/100 g;no;1;umol/100 g
umol/g dry wt f;no;1;umol/g dry wt f
units/ml;no;1;units/ml
AI g/kg;no;1;AI g/kg
amol/cell;no;1;amol/cell
eu;no;1;eu
g/eu;no;1;g/eu
g/fish;no;1;g/fish
g/ug;no;1;g/ug
lb/cwt sd;no;1;lb/cwt sd
mCi/kg;no;1;mCi/kg
mg/100ul;no;1;mg/100ul
mg/g bw/d;no;1;mg/g bw/d
mg/ha;no;1;mg/ha
mg/L/h;no;1;mg/L/h
ml/10 L/100 m2;no;1;ml/10 L/100 m2
ml/body wt;no;1;ml/body wt
mm3/L;no;1;mm3/L
mmol/m2;no;1;mmol/m2
ng/eu;no;1;ng/eu
ng/fish;no;1;ng/fish
ng/kg;no;1;ng/kg
ng/min;no;1;ng/min
nmol/g bw;no;1;nmol/g bw
uCi/g;no;1;uCi/g
ug/100 g bdwt;no;1;ug/100 g bdwt
ug/100g/d;no;1;ug/100g/d
ug/10 L;no;1;ug/10 L
ug/50ul;no;1;ug/50ul
ug/L/hr;no;1;ug/L/hr
ug/tank/wk;no;1;ug/tank/wk
ul/eu;no;1;ul/eu
v/v;no;1;v/v
1e-4 M;no;1;1e-4 M
1e-6 M;no;1;1e-6 M
1e-9 M;no;1;1e-9 M
ai g/ac;no;1;ai g/ac
AI l/ha;no;1;AI l/ha
AI mmol/dm3;no;1;AI mmol/dm3
AI ug/g;no;1;AI ug/g
AI uM;no;1;AI uM
Bq/kg;no;1;Bq/kg
Bq/mg;no;1;Bq/mg
cc;no;1;cc
Ci/mmol;no;1;Ci/mmol
cpm/mg;no;1;cpm/mg
dpm/g;no;1;dpm/g
IU;no;1;IU
kBq/dm3;no;1;kBq/dm3
kg/50 m;no;1;kg/50 m
mBq;no;1;mBq
mCi/mg;no;1;mCi/mg
mCi/ml;no;1;mCi/ml
mg/%;no;1;mg/%
mg/100 g food;no;1;mg/100 g food
mg/kg bdwt/wk;no;1;mg/kg bdwt/wk
ml/100g;no;1;ml/100g
ml/25 L;no;1;ml/25 L
ml/g bdwt;no;1;ml/g bdwt
ml/kg/d;no;1;ml/kg/d
ml/m3;no;1;ml/m3
mosmols/l;no;1;mosmols/l
mouse unit/ml;no;1;mouse unit/ml
neq/g;no;1;neq/g
ng/mi/kg bdwt;no;1;ng/mi/kg bdwt
ng/mm/day;no;1;ng/mm/day
nl/cm2;no;1;nl/cm2
nM/g;no;1;nM/g
nmol/kg/mi;no;1;nmol/kg/mi
ppm/L;no;1;ppm/L
tons;no;1;tons
u;no;1;u
uBq;no;1;uBq
uCi/30mg;no;1;uCi/30mg
uCi/3.6mg;no;1;uCi/3.6mg
uCi/nmol;no;1;uCi/nmol
uCi/org;no;1;uCi/org
uCi/ug;no;1;uCi/ug
uCi/ul;no;1;uCi/ul
ueq/g;no;1;ueq/g
ug/0.1 ml/d/org;no;1;ug/0.1 ml/d/org
ug/100g;no;1;ug/100g
ug/d/org;no;1;ug/d/org
u/l;no;1;u/l
uL/100 L;no;1;uL/100 L
ul/100ml;no;1;ul/100ml
ul/20ml;no;1;ul/20ml
ul/kg;no;1;ul/kg
ul/org;no;1;ul/org
uM/kg;no;1;uM/kg
umol/kg/mi;no;1;umol/kg/mi
